Epoch,Accuracy,Validation Accuracy,Loss,Validation Loss
1,0.2070980668067932,0.2448624223470688,2.1725077629089355,1.8774518966674805
2,0.2676677703857422,0.27203065156936646,1.7968368530273438,3.031771183013916
3,0.34553757309913635,0.40229883790016174,1.6435878276824951,1.5443124771118164
4,0.4086616635322571,0.4510623514652252,1.521210789680481,1.4380950927734375
5,0.44720953702926636,0.4858934283256531,1.4346556663513184,1.363573670387268
6,0.479642391204834,0.5231626629829407,1.3739571571350098,1.249327540397644
7,0.49353665113449097,0.49355626106262207,1.337084174156189,1.3356845378875732
8,0.5092886686325073,0.5482410192489624,1.2986875772476196,1.2123943567276
9,0.5236473679542542,0.5158481597900391,1.26231050491333,1.2881683111190796
10,0.5239956378936768,0.5572971105575562,1.246976613998413,1.214877724647522
11,0.5442758798599243,0.5106234550476074,1.2232885360717773,1.3483651876449585
12,0.548184871673584,0.5844653248786926,1.2086176872253418,1.1168423891067505
13,0.5524421334266663,0.5945663452148438,1.1943750381469727,1.1090530157089233
14,0.5562350153923035,0.5896900296211243,1.177907943725586,1.0944373607635498
15,0.5644786953926086,0.5722744464874268,1.166082501411438,1.1470975875854492
16,0.5736511945724487,0.6011842489242554,1.1471576690673828,1.081100583076477
17,0.5758185386657715,0.5893417000770569,1.1399070024490356,1.1276144981384277
18,0.5746961832046509,0.5949146747589111,1.1298381090164185,1.086287260055542
19,0.5828624367713928,0.6185997724533081,1.1192044019699097,1.0565580129623413
20,0.5874293446540833,0.6151166558265686,1.1125948429107666,1.038079857826233
21,0.585378110408783,0.5830721259117126,1.103212594985962,1.1068229675292969
22,0.5920736789703369,0.5983977913856506,1.0948437452316284,1.048957347869873
23,0.5976081490516663,0.6081504821777344,1.0837030410766602,1.0718587636947632
24,0.5991562604904175,0.6151166558265686,1.0792815685272217,1.0461137294769287
25,0.5973759293556213,0.6144200563430786,1.083155632019043,1.038552165031433
26,0.6022524833679199,0.614768385887146,1.067518711090088,1.018558144569397
27,0.6034522652626038,0.614768385887146,1.0646787881851196,1.0368839502334595
28,0.6068968176841736,0.630094051361084,1.056847095489502,1.0000780820846558
29,0.607980489730835,0.6262626051902771,1.0524002313613892,1.0395843982696533
30,0.6109606027603149,0.6144200563430786,1.042661428451538,1.0495303869247437
31,0.6112702488899231,0.6192964315414429,1.0437442064285278,1.0096008777618408
32,0.612934410572052,0.6185997724533081,1.0365231037139893,1.0029146671295166
33,0.6164177060127258,0.6367119550704956,1.0304954051971436,1.0033050775527954
34,0.6213329434394836,0.6398467421531677,1.0218740701675415,1.0009279251098633
35,0.6246613264083862,0.629397451877594,1.0155425071716309,1.029924750328064
36,0.6235389709472656,0.6356670260429382,1.0087088346481323,0.9972209334373474
37,0.6271770000457764,0.630790650844574,1.0070083141326904,1.0209076404571533
38,0.6265577673912048,0.6335771679878235,1.0092521905899048,0.9985377192497253
39,0.6315504312515259,0.6367119550704956,0.9942879676818848,0.983431875705719
40,0.6311246752738953,0.6394984126091003,0.9936704635620117,0.9856815338134766
41,0.6361947655677795,0.6283524632453918,0.9866662621498108,1.042814016342163
42,0.6379750967025757,0.629397451877594,0.985245943069458,1.0086674690246582
43,0.6315504312515259,0.6353186964988708,0.9832035899162292,1.003109097480774
44,0.6388652324676514,0.6304423809051514,0.9783400893211365,1.0173566341400146
45,0.6359238624572754,0.6388018131256104,0.9802860617637634,0.981113076210022
