Epoch,Accuracy,Validation Accuracy,Loss,Validation Loss
1,0.21603839099407196,0.3141762316226959,2.2002813816070557,1.719944715499878
2,0.29638516902923584,0.37164750695228577,1.7429711818695068,1.5987403392791748
3,0.3661274015903473,0.4594218134880066,1.6168111562728882,1.419861078262329
4,0.4139639437198639,0.47648903727531433,1.509880542755127,1.3792791366577148
5,0.4440746307373047,0.5081853270530701,1.4400079250335693,1.3007781505584717
6,0.46710270643234253,0.5276907086372375,1.384681224822998,1.2435497045516968
7,0.4866862893104553,0.5336119532585144,1.3413147926330566,1.2326828241348267
8,0.5035993456840515,0.5353535413742065,1.3065959215164185,1.241268515586853
9,0.5165260434150696,0.5426680445671082,1.2761785984039307,1.2313309907913208
10,0.5253502726554871,0.5673981308937073,1.2572368383407593,1.1412391662597656
11,0.5328586101531982,0.5412748456001282,1.2387261390686035,1.2442063093185425
12,0.5389348864555359,0.5761058926582336,1.2257634401321411,1.1214096546173096
13,0.5455917716026306,0.5670498013496399,1.2105045318603516,1.1216996908187866
14,0.5534096956253052,0.5774991512298584,1.2018918991088867,1.0985759496688843
15,0.5548416972160339,0.5830721259117126,1.1889256238937378,1.1007028818130493
16,0.5593699216842651,0.576454222202301,1.1732258796691895,1.1424368619918823
17,0.5635111331939697,0.5956112742424011,1.1708348989486694,1.069875955581665
18,0.5710968375205994,0.6123301982879639,1.1531132459640503,1.053320288658142
19,0.5717934966087341,0.6133751273155212,1.1486681699752808,1.0420418977737427
20,0.5741543173789978,0.6130267977714539,1.140826940536499,1.031946063041687
21,0.5777149796485901,0.6165099143981934,1.1257274150848389,1.0280656814575195
22,0.5815465450286865,0.6116335988044739,1.1259870529174805,1.0328071117401123
23,0.5859586596488953,0.5997909903526306,1.1170731782913208,1.094854712486267
24,0.584642767906189,0.6203413605690002,1.1147311925888062,1.0154244899749756
25,0.585919976234436,0.6158133149147034,1.1085518598556519,1.0300790071487427
26,0.5852233171463013,0.6067572236061096,1.1086926460266113,1.078068494796753
27,0.5918027758598328,0.6227795481681824,1.093634009361267,1.007732629776001
28,0.5942410230636597,0.6126785278320312,1.093480110168457,1.0334607362747192
29,0.59261554479599,0.6273075342178345,1.0933505296707153,0.9938048124313354
30,0.596060037612915,0.6241727471351624,1.087978720664978,1.0206550359725952
31,0.5987692475318909,0.6304423809051514,1.081624984741211,0.988751232624054
32,0.5981500148773193,0.6172065734863281,1.0786752700805664,1.0232923030853271
33,0.6005882620811462,0.6363636255264282,1.0777912139892578,0.9825771450996399
34,0.601284921169281,0.6151166558265686,1.074742317199707,1.015122652053833
35,0.604265034198761,0.6098920106887817,1.0722264051437378,1.0550029277801514
36,0.6056196093559265,0.637060284614563,1.061747431755066,0.9947634339332581
37,0.6056196093559265,0.6363636255264282,1.0641322135925293,0.9864570498466492
38,0.6054261326789856,0.6220828890800476,1.0575512647628784,1.016108751296997
39,0.6097608208656311,0.637756884098053,1.0550556182861328,0.9844549298286438
40,0.6089867353439331,0.6381052136421204,1.0514681339263916,0.9777950048446655
41,0.6118120551109314,0.6408916711807251,1.0479142665863037,0.9718534350395203
42,0.6109606027603149,0.6398467421531677,1.0414570569992065,0.9844253659248352
43,0.6118894815444946,0.646116316318512,1.0462331771850586,0.9754803776741028
44,0.6142503023147583,0.6422849297523499,1.044014573097229,0.9606031179428101
45,0.6178497076034546,0.6335771679878235,1.0359466075897217,0.9913428425788879
46,0.6214490532875061,0.6440264582633972,1.0309633016586304,0.9647999405860901
47,0.6197074055671692,0.6356670260429382,1.0271947383880615,0.9838467240333557
48,0.6191268563270569,0.6405433416366577,1.0334062576293945,0.9616803526878357
49,0.6143277287483215,0.6443747878074646,1.03287935256958,0.9680987000465393
50,0.6195526123046875,0.6401950716972351,1.0273600816726685,0.9663453102111816
